NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
ELITE VEÍCULOS                                                                                 ,"5,0"                              ,(1)                                     ,"AV. COELHO E CAMPOS, 833 - GETÚLIO VARGAS, ARACAJU - SE, 49055-180"                                                                                                  ,Concessionária                         ,Contato não disponível
LÉO AUTOMÓVEIS                                                                                 ,"5,0"                              ,(3)                                     ,"AV. COELHO E CAMPOS, 818 - 18 DO FORTE, ARACAJU - SE, 49010-490"                                                                                                     ,Revendedora de carros usados           ,Contato não disponível
VILA NOVA VEÍCULOS                                                                             ,"5,0"                              ,(1)                                     ,"R. ARMINDO GUARANÁ, 78 - SANTO ANTÔNIO, ARACAJU - SE, 49060-030"                                                                                                     ,Revendedora de carros usados           ,Contato não disponível
KLEBER AUTOMÓVEIS                                                                              ,"5,0"                              ,(1)                                     ,"AV. CARLOS BURLAMARQUI, 757 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,Contato não disponível
RODRIGUES SEMINOVOS                                                                            ,"4,3"                              ,(7)                                     ,"AV. COELHO E CAMPOS, 716 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,Contato não disponível
DNC VEÍCULOS SEMINOVOS                                                                         ,"3,7"                              ,(9)                                     ,"AV. SÃO PAULO, 817 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-530"                                                                                                       ,Loja                                   ,Contato não disponível
ZOMINHO AUTOMÓVEIS                                                                             ,"4,3"                              ,(6)                                     ,"AV. PEDRO CALAZANS, 230 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,Contato não disponível
PADRÃO AUTOMÓVEIS                                                                              ,"5,0"                              ,(2)                                     ,"PRAÇA DOS EXPEDICIONÁRIOS, 1146 - GETÚLIO VARGAS, ARACAJU - SE, 49055-280"                                                                                           ,Concessionária                         ,Contato não disponível
AUTO PARVI - TOYOLEX - ARACAJU SE                                                              ,"4,1"                              ,(16)                                    ,"AV. PRES. TANCREDO NEVES, 5121 - JABOTIANA, ARACAJU - SE, 49095-000"                                                                                                 ,Concessionária                         ,Contato não disponível
UNIDAS ALUGUEL DE CARROS                                                                       ,"4,1"                              ,(331)                                   ,"AV. SEN. JÚLIO CÉSAR LEITE, BOX N° 13 - AEROPORTO, ARACAJU - SE, 49035-580"                                                                                          ,Agência de aluguel de carros           ,Contato não disponível
